,Age,Experience,Income,CCAvg,Mortgage,Family_2,Family_3,Family_4,Education_2,Education_3,Personal_Loan_1,Securities_Account_1,CD Account_1,Online_1,CreditCard_1
2764,31,5,84,2.9,105,0,0,0,0,1,0,0,0,0,1
4767,35,9,45,0.9,101,0,1,0,0,0,0,1,0,0,0
3814,34,9,35,1.3,0,0,1,0,0,0,0,0,0,0,0
3499,49,23,114,0.3,286,0,0,0,0,0,0,0,0,1,0
2735,36,12,70,2.6,165,0,1,0,1,0,0,0,0,1,0
3922,31,4,20,1.5,0,0,0,1,1,0,0,0,0,1,0
2701,50,26,55,1.6,0,0,0,0,1,0,0,0,0,1,0
1179,36,11,98,1.2,0,0,1,0,0,1,0,1,0,0,1
932,51,27,112,1.8,0,0,1,0,1,0,0,1,1,1,1
792,41,16,98,4.0,0,0,0,0,0,1,0,0,0,0,1
1852,32,6,54,1.8,167,0,0,1,0,1,0,0,0,0,0
1185,43,19,31,0.5,0,0,1,0,0,0,0,0,0,0,0
1724,46,19,24,0.67,0,0,1,0,1,0,0,0,0,1,0
4080,27,0,40,2.0,110,0,0,0,1,0,0,0,0,0,1
3823,49,25,44,0.9,194,0,0,1,1,0,0,0,0,1,0
4054,59,34,64,1.7,0,0,0,1,0,0,0,0,0,0,0
2721,58,33,173,7.2,0,1,0,0,0,1,1,0,0,1,0
3903,47,23,65,0.0,0,0,0,0,0,0,0,0,0,0,0
1865,36,6,90,1.8,0,0,0,1,0,1,0,1,0,0,0
759,53,28,59,1.9,0,1,0,0,1,0,0,0,0,1,0
2416,60,35,32,0.3,80,0,0,0,0,1,0,0,0,1,0
3670,38,14,29,0.4,0,0,0,1,1,0,0,0,0,1,0
4838,56,30,44,2.5,0,0,0,1,0,0,0,0,0,0,1
3090,61,31,19,1.5,0,0,0,0,0,1,0,0,0,1,0
1546,33,9,105,4.0,0,0,0,0,0,0,0,0,0,1,0
1132,34,9,55,2.3,0,0,1,0,0,0,0,1,1,1,1
4703,57,27,62,2.0,0,0,1,0,0,1,0,0,0,1,0
4494,29,4,182,3.7,0,0,0,0,0,1,1,0,0,1,0
2775,38,13,163,4.1,0,0,0,0,0,0,0,0,0,0,0
3185,35,10,128,3.8,0,0,0,0,0,0,0,0,0,1,0
1213,27,2,78,0.2,87,0,0,1,0,0,0,0,0,0,0
3289,50,25,44,0.3,187,0,0,0,0,0,0,0,0,1,1
763,54,28,65,0.2,0,0,0,0,0,0,0,0,0,0,1
1216,50,25,84,1.3,0,0,0,0,0,1,0,1,0,1,0
348,40,15,173,6.6,0,0,0,1,0,0,1,0,1,1,1
2982,59,33,111,4.4,0,0,1,0,0,0,0,0,0,1,0
2916,46,20,40,1.2,0,0,0,0,1,0,0,0,0,1,0
2971,52,25,43,1.0,165,0,1,0,1,0,0,0,1,1,1
1355,61,37,48,0.8,158,0,0,0,0,0,0,0,0,1,0
2330,31,5,72,1.8,242,0,0,1,1,0,0,0,0,1,1
1513,45,21,183,1.4,354,1,0,0,0,0,0,0,0,0,0
2181,45,15,32,0.75,105,0,0,0,0,1,0,0,0,1,0
3347,65,41,78,2.0,0,0,1,0,0,1,0,0,1,1,1
1660,37,11,34,0.9,0,0,1,0,0,0,0,0,0,1,0
4377,33,8,145,2.7,0,0,0,0,0,1,1,0,0,1,0
804,54,28,34,0.7,0,0,0,1,1,0,0,0,0,1,0
1441,58,33,43,1.6,0,1,0,0,0,1,0,0,0,1,0
1094,50,24,44,1.8,0,0,0,1,0,0,0,0,0,1,1
3988,59,35,85,3.4,0,0,0,0,0,1,1,0,1,0,1
3705,30,4,30,1.0,0,0,1,0,0,0,0,0,0,1,0
3743,40,14,78,1.4,194,0,0,1,1,0,0,0,0,1,1
3271,52,27,93,4.1,0,0,0,1,1,0,1,0,0,0,1
1453,29,5,85,2.5,0,0,1,0,0,0,0,0,0,1,1
2513,52,26,71,1.4,0,0,0,0,0,1,0,0,0,0,0
2000,28,2,22,0.1,0,0,0,0,1,0,0,0,0,1,0
4133,41,17,129,3.4,0,0,0,0,0,0,0,0,0,0,1
4077,26,0,71,1.8,0,0,0,1,1,0,0,1,0,1,0
988,63,39,32,1.9,100,0,0,0,1,0,0,0,0,0,0
1621,31,6,53,2.2,114,0,0,1,0,0,0,0,0,1,0
4198,61,36,50,1.7,189,0,0,1,0,0,0,0,0,1,0
1412,59,33,100,2.0,127,1,0,0,0,0,0,0,0,0,0
608,27,2,55,1.7,0,0,0,1,1,0,0,0,0,1,0
1772,36,11,15,0.3,119,1,0,0,1,0,0,0,0,0,0
3283,56,30,29,0.7,87,0,0,1,1,0,0,0,0,1,0
3635,58,33,24,0.5,0,1,0,0,1,0,0,0,0,1,0
4828,52,28,62,1.8,0,0,0,0,0,1,0,0,0,1,0
3521,36,10,30,0.8,0,1,0,0,0,1,0,0,0,1,0
2717,23,-2,45,0.6,0,0,0,1,1,0,0,0,0,1,1
4079,65,40,75,2.2,0,0,1,0,0,0,0,0,0,1,0
2334,45,21,69,1.9,0,0,0,1,0,0,0,0,0,0,0
4437,63,38,63,1.5,0,1,0,0,0,0,0,0,0,1,0
4115,45,20,84,1.1,180,0,0,1,1,0,0,0,0,1,0
2755,37,11,22,0.1,0,0,1,0,1,0,0,0,0,1,1
636,40,16,120,6.1,196,1,0,0,0,0,0,0,0,1,0
503,31,5,39,1.8,185,0,0,1,0,1,0,0,0,0,1
3420,66,41,114,0.8,0,0,0,0,0,1,0,0,0,1,1
3944,56,26,62,1.4,0,0,1,0,0,1,0,0,0,1,0
2943,56,32,83,1.6,0,0,0,1,1,0,0,0,0,0,0
3019,58,33,39,2.3,0,1,0,0,0,1,0,0,0,1,0
4589,31,7,13,0.5,0,0,0,0,0,1,0,0,0,1,0
2671,62,37,128,2.5,0,0,0,0,0,0,0,0,0,0,0
3111,34,9,78,0.6,0,0,1,0,1,0,0,0,0,1,0
3144,43,18,104,1.0,0,0,1,0,0,0,0,0,0,1,0
4102,41,16,81,0.4,146,1,0,0,0,0,0,0,0,1,1
874,30,4,40,2.1,0,0,0,1,0,1,0,0,0,1,1
200,32,6,29,1.9,0,0,0,0,0,1,0,0,0,1,1
4700,31,7,170,6.0,0,0,0,0,0,0,0,0,0,1,0
3041,29,5,92,0.6,0,1,0,0,0,0,0,0,0,1,0
3586,40,15,132,3.9,0,1,0,0,0,0,0,0,0,1,0
2998,61,35,38,0.3,0,1,0,0,0,0,0,0,0,0,0
3534,34,10,61,2.0,0,0,1,0,0,0,0,0,0,0,1
4756,30,4,78,2.2,236,0,0,1,1,0,0,1,0,0,0
79,50,26,19,0.4,118,1,0,0,0,0,0,0,0,1,0
4092,40,15,171,3.3,0,1,0,0,0,0,0,0,0,1,0
349,26,2,60,3.0,132,1,0,0,0,0,1,0,0,0,0
325,54,28,89,1.9,0,0,0,0,1,0,0,0,0,1,1
3093,29,5,34,0.4,0,0,0,1,1,0,0,0,0,0,1
280,33,8,64,2.1,164,0,0,1,0,1,0,0,0,1,0
694,32,7,112,3.8,81,0,0,0,0,0,0,0,0,1,0
4640,30,6,42,2.1,0,0,0,0,0,1,0,0,0,1,0
3087,57,33,15,0.3,0,1,0,0,0,0,0,0,0,1,0
1642,27,3,84,1.5,0,0,1,0,0,0,0,0,0,1,1
927,65,40,95,3.7,138,0,1,0,1,0,1,0,0,0,1
2427,29,5,34,0.4,0,0,0,1,1,0,0,0,0,1,0
4863,61,35,25,0.8,142,0,0,0,1,0,0,0,0,1,0
3206,33,7,80,1.5,0,1,0,0,0,1,0,0,0,1,1
2968,44,18,162,1.3,301,0,0,1,0,0,1,0,0,0,0
1524,40,16,155,0.1,0,0,0,1,0,1,1,0,1,1,1
4868,51,27,62,3.2,118,1,0,0,0,1,0,0,0,0,1
1687,63,39,83,2.0,0,0,1,0,0,1,0,0,0,1,1
871,54,28,48,2.8,0,0,0,1,1,0,0,0,0,1,0
610,52,28,81,1.8,275,0,1,0,1,0,0,0,0,0,0
4759,66,41,80,0.1,0,0,0,1,1,0,0,0,0,1,0
3882,31,7,43,2.1,166,0,0,0,0,1,0,0,0,0,1
3741,53,29,51,3.2,0,1,0,0,0,1,0,0,0,1,0
573,55,28,50,1.0,0,0,1,0,1,0,0,0,0,1,1
3501,65,39,105,1.7,0,0,0,1,0,1,0,1,0,1,0
219,56,30,61,2.2,0,0,0,0,0,1,0,0,0,1,1
1273,60,35,130,6.3,437,0,1,0,0,1,1,0,1,1,1
799,29,3,39,2.1,0,0,0,1,0,1,0,0,0,1,0
4922,31,5,28,0.3,0,0,0,0,0,0,0,0,0,1,1
2575,42,16,41,0.5,0,0,1,0,0,1,0,0,0,1,0
1915,37,11,69,2.1,0,0,1,0,0,0,0,1,0,0,0
1512,53,28,44,1.7,0,0,1,0,0,0,0,0,0,0,0
3583,30,3,33,1.5,85,0,0,1,1,0,0,0,0,0,0
574,29,5,80,2.0,0,1,0,0,1,0,0,0,0,1,1
4012,30,6,124,0.6,0,1,0,0,0,0,0,0,0,1,0
2940,27,3,43,0.1,163,0,1,0,1,0,0,0,0,1,0
2794,52,26,35,1.8,0,0,0,1,0,0,0,0,0,1,0
3587,28,4,29,0.1,0,0,1,0,1,0,0,0,0,1,0
2682,53,27,81,2.6,0,0,0,1,0,1,0,0,0,1,0
501,50,26,39,1.9,0,0,1,0,1,0,0,0,0,1,0
1573,44,20,69,0.8,184,0,0,0,0,1,0,0,1,1,1
3990,57,32,59,3.7,134,1,0,0,0,0,0,0,0,1,0
2864,65,41,84,0.0,0,1,0,0,0,1,0,0,0,1,1
881,44,19,154,8.8,0,1,0,0,0,0,0,0,0,1,0
1586,59,33,50,2.3,0,1,0,0,0,1,0,0,0,0,1
1235,54,28,60,2.6,0,0,0,1,0,1,0,0,0,0,0
1626,31,6,180,6.7,0,1,0,0,0,0,0,0,0,0,0
3829,65,39,44,0.5,0,0,0,0,0,1,0,0,0,1,1
3438,43,17,72,2.8,271,0,0,0,0,0,0,0,0,1,0
2695,40,15,8,0.1,0,1,0,0,1,0,0,0,0,0,0
4100,27,2,41,1.7,0,1,0,0,1,0,0,0,0,1,0
3632,46,20,111,6.3,0,1,0,0,0,0,0,0,0,0,1
3597,56,26,51,2.0,0,0,1,0,0,1,0,0,0,1,0
2677,32,8,70,1.5,0,0,1,0,0,0,0,0,0,1,0
440,64,39,59,1.5,139,1,0,0,0,0,0,0,0,1,0
4284,38,13,173,3.3,243,1,0,0,0,0,0,0,0,0,0
745,30,4,49,1.1,0,0,1,0,1,0,0,0,0,0,1
2040,41,16,91,0.5,0,0,1,0,0,1,0,0,0,0,0
4887,41,15,49,0.9,0,0,1,0,0,1,0,0,1,1,1
1600,60,36,129,6.0,0,1,0,0,0,0,0,0,0,1,0
1971,42,17,72,1.1,203,0,0,1,1,0,0,0,0,0,1
1750,60,34,61,1.7,229,0,0,1,1,0,0,0,0,0,0
2354,35,9,8,0.4,0,0,0,0,1,0,0,0,0,1,0
3350,28,3,95,1.8,0,1,0,0,1,0,0,0,0,0,0
2079,26,2,40,1.0,0,0,0,0,0,1,0,0,0,1,0
870,43,19,35,0.5,0,0,1,0,0,0,0,0,0,1,0
1060,59,34,23,0.1,0,0,0,0,0,0,0,0,0,0,1
3216,34,8,14,0.3,0,0,0,1,0,0,0,0,0,0,0
169,27,1,112,2.1,0,0,0,1,0,1,0,0,0,0,1
2911,30,4,54,1.8,235,0,0,1,0,1,0,0,0,1,0
1899,59,33,34,0.2,0,0,0,0,0,0,0,0,0,1,0
2740,54,29,48,2.1,142,1,0,0,0,1,0,0,0,1,0
1554,42,15,34,1.0,0,0,1,0,1,0,0,1,0,1,0
2192,25,1,13,1.0,95,0,0,1,0,0,0,0,0,0,1
2327,51,25,70,0.8,0,0,0,0,0,1,0,1,0,1,0
1548,57,32,21,0.9,113,0,0,1,1,0,0,1,0,0,0
2836,25,1,74,2.6,204,0,0,1,0,0,0,0,0,0,0
2352,46,19,59,2.67,0,0,1,0,1,0,0,0,0,0,0
4451,67,41,18,0.4,0,1,0,0,0,0,0,0,0,1,0
3223,43,18,29,0.5,0,0,0,0,0,1,0,0,0,1,0
2394,42,18,145,8.0,505,1,0,0,0,0,0,0,0,0,0
1038,56,30,145,5.7,0,0,0,1,1,0,1,0,1,1,1
1518,43,17,64,3.0,221,0,0,1,0,1,1,0,0,1,0
